page_id,target_route,locale,wave,locale_action,old_alias,page_gate,locale_gate,status,next_action,classified,publication_ready
PAGE_HOME,/,ar,0,ALREADY_ACTIVE_CANONICAL,,PASS_STATIC_HOLD_RELEASE,HOLD_DERIVED_LOCALE_REVIEW,HOLD_CONTENT_REBASE_HUMAN_LINGUISTIC_REVIEW,REBASE_FROM_PT_BR_SUCCESSOR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,de,0,ALREADY_ACTIVE_CANONICAL,,PASS_STATIC_HOLD_RELEASE,HOLD_DERIVED_LOCALE_REVIEW,HOLD_CONTENT_REBASE_HUMAN_LINGUISTIC_REVIEW,REBASE_FROM_PT_BR_SUCCESSOR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,en,0,ALREADY_ACTIVE_CANONICAL,,PASS_STATIC_HOLD_RELEASE,HOLD_DERIVED_LOCALE_REVIEW,HOLD_CONTENT_REBASE_HUMAN_LINGUISTIC_REVIEW,REBASE_FROM_PT_BR_SUCCESSOR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,es,0,ALREADY_ACTIVE_CANONICAL,,PASS_STATIC_HOLD_RELEASE,HOLD_DERIVED_LOCALE_REVIEW,HOLD_CONTENT_REBASE_HUMAN_LINGUISTIC_REVIEW,REBASE_FROM_PT_BR_SUCCESSOR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,fr,0,ALREADY_ACTIVE_CANONICAL,,PASS_STATIC_HOLD_RELEASE,HOLD_DERIVED_LOCALE_REVIEW,HOLD_CONTENT_REBASE_HUMAN_LINGUISTIC_REVIEW,REBASE_FROM_PT_BR_SUCCESSOR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,it,0,ALREADY_ACTIVE_CANONICAL,,PASS_STATIC_HOLD_RELEASE,HOLD_DERIVED_LOCALE_REVIEW,HOLD_CONTENT_REBASE_HUMAN_LINGUISTIC_REVIEW,REBASE_FROM_PT_BR_SUCCESSOR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,ja,0,ALREADY_ACTIVE_CANONICAL,,PASS_STATIC_HOLD_RELEASE,HOLD_DERIVED_LOCALE_REVIEW,HOLD_CONTENT_REBASE_HUMAN_LINGUISTIC_REVIEW,REBASE_FROM_PT_BR_SUCCESSOR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,pt-BR,0,ALREADY_ACTIVE_CANONICAL,,PASS_STATIC_HOLD_RELEASE,PASS_SOURCE_LOCALE_STATIC,PASS_STATIC_HOLD_RELEASE,CHECKER_AUDIT_AND_RESOLVE_PAGE_SCOPED_HOLDS,True,False
PAGE_HOME,/,bg-BG,1,NEW_BASE_LANGUAGE_TRANSLATION,,PASS_STATIC_HOLD_RELEASE,HOLD_TRANSLATION_AND_DERIVED_LOCALE_REVIEW,HOLD_TRANSLATION_REQUIRED_HUMAN_REVIEW,CREATE_TRANSLATION_FROM_CONTROLLED_PT_BR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,cs-CZ,1,NEW_BASE_LANGUAGE_TRANSLATION,,PASS_STATIC_HOLD_RELEASE,HOLD_TRANSLATION_AND_DERIVED_LOCALE_REVIEW,HOLD_TRANSLATION_REQUIRED_HUMAN_REVIEW,CREATE_TRANSLATION_FROM_CONTROLLED_PT_BR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,da-DK,1,NEW_BASE_LANGUAGE_TRANSLATION,,PASS_STATIC_HOLD_RELEASE,HOLD_TRANSLATION_AND_DERIVED_LOCALE_REVIEW,HOLD_TRANSLATION_REQUIRED_HUMAN_REVIEW,CREATE_TRANSLATION_FROM_CONTROLLED_PT_BR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,fi-FI,1,NEW_BASE_LANGUAGE_TRANSLATION,,PASS_STATIC_HOLD_RELEASE,HOLD_TRANSLATION_AND_DERIVED_LOCALE_REVIEW,HOLD_TRANSLATION_REQUIRED_HUMAN_REVIEW,CREATE_TRANSLATION_FROM_CONTROLLED_PT_BR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
PAGE_HOME,/,hr-HR,1,NEW_BASE_LANGUAGE_TRANSLATION,,PASS_STATIC_HOLD_RELEASE,HOLD_TRANSLATION_AND_DERIVED_LOCALE_REVIEW,HOLD_TRANSLATION_REQUIRED_HUMAN_REVIEW,CREATE_TRANSLATION_FROM_CONTROLLED_PT_BR_THEN_HUMAN_LINGUISTIC_REVIEW,True,False
